Time [s],Flags,FrameId,PayloadLength,HeaderCRC,CycleCount,Data,CRC
0.000874710000000,0,2,17,1611,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,10378280
0.000926910000000,0,3,17,1982,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1182536
0.000979110000000,4,4,17,629,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|240|191|255|3|0|0|0|30|234|127|0|128|63|0|254|0|20,638610
0.001031520000000,4,5,17,896,50,0|0|0|0|0|0|0|0|253|152|255|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4,13947548
0.001083650000000,4,6,17,415,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|101|7|0|0|203|42|167|3|24|55|244|72|3|1|128|0|0|112,8856669
0.001135680000000,4,7,17,106,50,0|0|0|0|0|0|0|0|96|127|32|7|31|167|0|228|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|96|72,15242190
0.001187880000000,7,8,17,1711,50,0|0|0|0|0|0|0|0|120|25|2|0|0|0|0|0|28|8|30|128|254|247|255|127|0|0|0|0|0|0|0|0|0|44,4311903
0.001240080000000,4,9,17,121,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|132|0|32|0|28|0|48|0|0|0|0|0|0|0|0|0|0|32,4080229
0.001396930000000,0,12,17,1624,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,16712407
0.001448860000000,0,13,17,1965,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,7558583
0.001657880000000,4,17,17,1931,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|74|0|131|13|0|85|0|0|0|48,1239773
0.001710110000000,4,18,17,1428,50,13|10|0|3|32|0|4|0|0|0|0|0|0|0|0|0|215|194|14|0|0|0|0|0|194|52|0|168|0|8|255|7|0|176,15192418
0.001762370000000,4,19,17,1121,50,0|176|248|195|128|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|218|224|255|23|0|184|30|8|0|144,1383128
0.001814580000000,4,20,17,426,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32,15591339
0.001866780000000,4,21,17,95,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|59|233|127|0|0|0|240|15|0|0|0|0|0|0|0|0|0|32,8430109
0.001971050000000,4,23,17,949,50,255|254|1|255|254|1|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|128,827767
0.002023160000000,7,24,17,1392,50,34|0|100|0|2|0|191|0|147|128|0|0|0|0|96|0|47|0|0|0|0|0|0|126|13|96|254|254|254|0|0|13|0|240,11160071
0.002075330000000,4,25,17,934,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|173|0|112|36|48|2|0|0|0|48,3108158
0.002127530000000,4,26,17,441,50,133|239|255|253|191|255|247|255|2|224|255|0|128|255|247|255|48|224|255|251|255|0|0|0|64|0|16|0|0|0|0|0|0|116,11695979
0.002231920000000,4,28,17,1415,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32,4389961
0.002284120000000,4,29,17,1138,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|79|34|12|182|1|0|0|0|0|16,16368633
0.002388510000000,4,31,17,1944,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|78|2|253|1|76|124|127|25|0|48,12243768
0.002440710000000,4,32,17,543,50,211|210|95|127|253|245|215|30|222|226|31|87|127|100|0|0|199|2|0|0|32|112|126|254|0|0|0|248|247|239|191|255|0|240,14897148
0.002492910000000,4,33,17,1002,50,0|0|0|0|0|0|0|0|0|47|0|0|152|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|64,265436
0.002545110000000,4,34,17,501,50,174|2|255|255|224|254|31|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|130,14410618
0.002597310000000,0,35,17,0,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8595095
0.002649480000000,0,36,17,1483,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12661994
0.002754130000000,0,38,17,1569,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8714209
0.002805960000000,4,39,17,2004,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|64|13|0|140|0|208|1|0|16,16426323
0.003014850000000,0,43,17,1069,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2899317
0.003119410000000,7,45,17,1840,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32,11207514
0.003327910000000,0,49,17,53,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2147734
0.003380110000000,4,50,17,554,50,0|0|0|0|0|0|0|0|0|192|18|100|112|34|138|50|0|0|0|0|0|0|0|0|20|14|32|4|138|124|115|28|0|80,9377714
0.003432310000000,4,51,17,991,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|133|0|0|0|38|17|20|17|0|8,13977963
0.003502610000000,4,54,4,676,50,64|119|4|33|0|0|0|0,9506739
